coordinates,created_at,followers,friends,geolocation,original_text,text,tweet_type,user_id,user_location,user_name,user_screen_name,verified,lang
,2015-09-04 00:48:17+00:00,1002,1826,,#tbt #KISS Asylum era. Did you see us on this Tour? http://t.co/j9g38C8zS9,RT @KISSOnline: #tbt #KISS Asylum era. Did you see us on this Tour? http://t.co/j9g38C8zS9,share,100021783,A la Poniente de este mundo...,Sebastián Salazar,sebsalazar,FALSE,en
,2015-09-03 12:12:43+00:00,43,92,,"La mort du petit Aylan, 3 ans, bouleverse le monde. Mais une fois l'émotion retombée, se passera-t-il quelque chose ? http://t.co/OS8Fw4lQwr","RT @AleteiaFR: La mort du petit Aylan, 3 ans, bouleverse le monde. Mais une fois l'émotion retombée, se passera-t-il quelque chose ? http:/…",share,1000116319,Gonesse,Sekvan ن  ,Sekvan_C,FALSE,fr
,2015-09-09 12:51:17+00:00,252,218,,"I don't understand how possessing a cellphone makes someone a less convincing refugee. They're fleeing war, not visiting from 18th century.","RT @zenpeacekeeper: I don't understand how possessing a cellphone makes someone a less convincing refugee. They're fleeing war, not visitin…",share,10003542,,Shad(r)owdancer,pandistelle,FALSE,en
,2015-09-05 04:59:20+00:00,450,604,,,The pictures of the baby refugee bodies washing onto shore is honestly too much to handle. Like please post a trigger warning,post,100077666,"Poplar Bluff, MO",Shayla,ElloShayla,FALSE,en
,2015-09-02 21:53:26+00:00,6255,298,,If this dead refugee child washed ashore wasn't #muslim and #syrian the world would have been in an uprising. http://t.co/t3s4Rc7b0E,RT @yavuzsbayram: If this dead refugee child washed ashore wasn't #muslim and #syrian the world would have been in an uprising. http://t.co…,share,1000594688,,simplypurple,4simplypurple,FALSE,en
,2015-09-08 21:01:23+00:00,169,492,,"This Is What Refugee Life Looks Like Through A Child’s Eyes
https://t.co/ciYM7ljeda",RT @BuzzFeedNews: This Is What Refugee Life Looks Like Through A Child’s Eyes https://t.co/ciYM7ljeda,share,1000366813,,sinpensardemasiado,sinpensardemasi,FALSE,en
,2015-09-07 08:56:27+00:00,169,492,,"#AylanKurdi lives on in Euro-refugee reax. But shame in Gulf, US Canada. Read 'This Isn't a European Problem' in NYT: http://t.co/IyuG5xBCfI","RT @camanpour: #AylanKurdi lives on in Euro-refugee reax. But shame in Gulf, US Canada. Read 'This Isn't a European Problem' in NYT: http:/…",share,1000366813,,sinpensardemasiado,sinpensardemasi,FALSE,en
,2015-09-15 22:49:25+00:00,170,494,,"Yarmouk camp, 31 January 2014. The first photo to reveal the scale of refugee suffering in Syria. #migrationcrisis http://t.co/hJD6XwJSWB","RT @TomBoadle: Yarmouk camp, 31 January 2014. The first photo to reveal the scale of refugee suffering in Syria. #migrationcrisis http://t.…",share,1000366813,,sinpensardemasiado,sinpensardemasi,FALSE,en
,2015-09-10 08:47:23+00:00,170,494,,Lo que faltaba. Terremoto en Lesbos. https://t.co/RFVeMx9WdG,RT @Sainz_Jorge: Lo que faltaba. Terremoto en Lesbos. https://t.co/RFVeMx9WdG,share,1000366813,,sinpensardemasiado,sinpensardemasi,FALSE,sp
,2015-09-07 00:30:55+00:00,258,347,,Pope calls on all Catholic parishes in Europe to host refugee families. http://t.co/bRdnEeG5N5 http://t.co/v6RCaRgEf6,RT @cnnbrk: Pope calls on all Catholic parishes in Europe to host refugee families. http://t.co/bRdnEeG5N5 http://t.co/v6RCaRgEf6,share,1000986720,"Denver, Colorado",Sneha Antony,Sneha_Antony,FALSE,en
,2015-09-11 02:11:35+00:00,341,623,,@Pontifex Francis calls on every European parish to shelter a #refugee family http://t.co/ECdt6KF08U via @TIMEWorld #tcot #latism #Syria,RT @EspuelasVox: @Pontifex Francis calls on every European parish to shelter a #refugee family http://t.co/ECdt6KF08U via @TIMEWorld #tcot …,share,1000713889,,sol  ponce,ponce_sole,FALSE,en
,2015-09-14 23:04:28+00:00,7378,5142,,This is the legacy of #CharlieHebdo: a harsh criticism of EU #refugee policies. #JeSuisCharlie http://t.co/nGjredmxjL,RT @robaplantas: This is the legacy of #CharlieHebdo: a harsh criticism of EU #refugee policies. #JeSuisCharlie http://t.co/nGjredmxjL,share,100181839,"Athens, Greece",Spiros Fotis Jr.®,SpirosFotisJr,FALSE,en
,2015-09-05 16:35:01+00:00,142,264,,,"Chrisitian doctor living in Cardiff fears being returned to Syria, where he would face religious persecution. https://t.co/3rxmNYWfXZ",post,1001645912,"Cwmparc, Rhondda",St. George's Cwmparc,StGeorgeCwmparc,FALSE,en
,2015-09-04 11:05:06+00:00,137,262,,NOW: People across Wales are donating items to help with the migrant crisis. @jasonmohammad http://t.co/y6Kst1rISa http://t.co/cp0fGAyHCO,RT @BBCRadioWales: NOW: People across Wales are donating items to help with the migrant crisis. @jasonmohammad http://t.co/y6Kst1rISa http:…,share,1001645912,"Cwmparc, Rhondda",St. George's Cwmparc,StGeorgeCwmparc,FALSE,en
,2015-09-04 16:13:07+00:00,138,264,,Great to see concrete action in RCT @AndrewMorganRCT &amp; @keiron_montague Sure a welcome in the hillside awaits… https://t.co/5j6pvCMqfy,RT @BevanJa: Great to see concrete action in RCT @AndrewMorganRCT &amp; @keiron_montague Sure a welcome in the hillside awaits… https://t.co/5j…,share,1001645912,"Cwmparc, Rhondda",St. George's Cwmparc,StGeorgeCwmparc,FALSE,en
,2015-09-07 13:08:52+00:00,142,267,,Pope Francis pledges to shelter two refugee families: 'The gospel calls us to the abandoned' http://t.co/PRGbXxK5AE http://t.co/bJe4yshYz5,RT @ChristianToday: Pope Francis pledges to shelter two refugee families: 'The gospel calls us to the abandoned' http://t.co/PRGbXxK5AE htt…,share,1001645912,"Cwmparc, Rhondda",St. George's Cwmparc,StGeorgeCwmparc,FALSE,en
